date | value
2024-02-29 | 1
2011-01-03 | 990000000000000000000000000000000000
2011-01-03 | 2
2011-01-04 | gfdgd
2011-01-03 | 1
2011-01-03 | +01
2011-01-09 | 1.9
2012-01-11 | -1
2001-42-42
2012-01-11 | 1200
2012-01-11 | 2147483648
dfsdvsadsa | fasfd
dfsd-sa-sa | fasfd
2022-03-29 | 1
2001-03-02 | 1
2004-04-92 | 1
2023-02-07 |
22-02-07 | 44
2011-03-13 | 1
2011-01-32 | 1
2011-02-29 | 1
2011-03-32 | 1
2011-04-31 | 1
2011-05-32 | 1
2011-06-31 | 1
2011-07-32 | 1
2011-08-32 | 1
2011-09-31 | 1
2011-10-32 | 1
2011-11-31 | 1
2011-12-32 | 1
